record_id,record_type,dataset_name,slug,category,summary,hugging_face_url,doi_url,languages,license
dataset-001,dataset_profile_entry,Project 23 Argentina Travel Archive,project-23-argentina-travel-archive,Argentina travel archive,"Structured Argentina travel archive with Project 23 fieldwork records, travel logistics, cultural references, bilingual materials, and source-linked media records.",https://huggingface.co/datasets/samuelandaudreymedianetwork/project-23-argentina-travel-archive,https://doi.org/10.57967/hf/8886,English; Spanish,CC-BY-NC-4.0
dataset-002,dataset_profile_entry,Top 100 Travel Blogs 2010s Historical Archive,top-100-travel-blogs-2010s-archive,historical travel blogging archive,"Historical archive of the Nomadic Samuel Top 100 Travel Blogs ranking from the 2010s, including ranking records, methodology notes, metric tables, source-page metadata, and public/reference records.",https://huggingface.co/datasets/samuelandaudreymedianetwork/top-100-travel-blogs-2010s-archive,https://doi.org/10.57967/hf/8885,English,CC-BY-NC-4.0
dataset-003,dataset_profile_entry,Academic Citations and Media References,academic-citations-and-media-references,citation and reference records,"Structured academic, tourism, finance, media, and public-reference records connected to the Samuel & Audrey Media Network.",https://huggingface.co/datasets/samuelandaudreymedianetwork/academic-citations-and-media-references,https://doi.org/10.57967/hf/8887,English,CC-BY-NC-4.0
dataset-004,dataset_profile_entry,YouTube Travel Videos Metadata Index,youtube-travel-videos-metadata-index,video metadata,"Structured metadata index for travel videos across Samuel & Audrey Media Network YouTube channels, including video identifiers, titles, URLs, tags, view counts, language, and regional metadata.",https://huggingface.co/datasets/samuelandaudreymedianetwork/youtube-travel-videos-metadata-index,https://doi.org/10.57967/hf/8888,English; Spanish,CC-BY-NC-4.0
dataset-005,dataset_profile_entry,Che Argentina Travel Article Corpus,che-argentina-travel-article-corpus,article corpus,"Structured long-form article corpus from Che Argentina Travel covering Argentina travel guides, regional logistics, Patagonia, Buenos Aires, Córdoba, culture, and destination planning.",https://huggingface.co/datasets/samuelandaudreymedianetwork/che-argentina-travel-article-corpus,https://doi.org/10.5281/zenodo.18665586,English,CC-BY-NC-4.0
dataset-006,dataset_profile_entry,Nomadic Samuel Article Corpus,nomadic-samuel-article-corpus,article corpus,"Structured long-form English travel article corpus from Nomadic Samuel, covering global travel, destination guides, food, overland logistics, road trips, itineraries, and practical travel planning.",https://huggingface.co/datasets/samuelandaudreymedianetwork/nomadic-samuel-article-corpus,https://doi.org/10.5281/zenodo.18665493,English,CC-BY-NC-4.0
dataset-007,dataset_profile_entry,Picture Perfect Portfolios Article Corpus,picture-perfect-portfolios-article-corpus,finance article corpus,"Structured long-form finance and investing article corpus from Picture Perfect Portfolios, covering asset allocation, systematic investing, return stacking, trend following, ETFs, portfolio construction, and risk management.",https://huggingface.co/datasets/samuelandaudreymedianetwork/picture-perfect-portfolios-article-corpus,https://doi.org/10.5281/zenodo.18665568,English,CC-BY-NC-4.0
dataset-008,dataset_profile_entry,That Backpacker Article Corpus,that-backpacker-article-corpus,article corpus,"Structured long-form travel article corpus from That Backpacker, covering travel guides, itineraries, hiking, food travel, cultural experiences, transportation, accommodations, and practical trip planning.",https://huggingface.co/datasets/samuelandaudreymedianetwork/that-backpacker-article-corpus,https://doi.org/10.5281/zenodo.18665606,English,CC-BY-NC-4.0
dataset-009,dataset_profile_entry,Partnerships and Media References,partnerships-and-media-references,partnership and media reference records,"Structured records documenting selected partnerships, media references, publishing projects, websites, channels, campaigns, and professional milestones connected to the Samuel & Audrey Media Network.",https://huggingface.co/datasets/samuelandaudreymedianetwork/partnerships-and-media-references,https://doi.org/10.5281/zenodo.18665080,English,CC-BY-NC-4.0
dataset-010,dataset_profile_entry,Media and Academic Citations and Third-Party References,media-and-academic-citations-and-third-party-references,citation and third-party reference records,"Structured citation, media-reference, academic-reference, finance-reference, tourism-reference, and public-reference records connected to Samuel & Audrey Media Network projects.",https://huggingface.co/datasets/samuelandaudreymedianetwork/media-and-academic-citations-and-third-party-references,https://doi.org/10.5281/zenodo.18664879,English,CC-BY-NC-4.0
